Sensor,DateTime_US_Pacific,Ipm25,Lat,Lon
SCTV_01,9/1/2020 22:15,60,33.720638,-117.416614
SCTV_01,9/1/2020 22:30,60,33.720638,-117.416614
SCTV_01,9/1/2020 22:45,60,33.720638,-117.416614
SCTV_01,9/1/2020 23:00,60,33.720638,-117.416614
SCTV_01,9/1/2020 23:15,60,33.720638,-117.416614
SCTV_01,9/1/2020 23:30,60,33.720638,-117.416614
SCTV_01,9/1/2020 23:45,59,33.720638,-117.416614
SCTV_01,9/2/2020 0:00,59,33.720638,-117.416614
SCTV_01,9/2/2020 0:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 0:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 0:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 1:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 1:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 1:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 1:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 2:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 2:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 2:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 2:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 3:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 3:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 3:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 3:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 4:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 4:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 4:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 4:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 5:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 5:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 5:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 5:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 6:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 6:15,61,33.720638,-117.416614
SCTV_01,9/2/2020 6:30,61,33.720638,-117.416614
SCTV_01,9/2/2020 6:45,61,33.720638,-117.416614
SCTV_01,9/2/2020 7:00,61,33.720638,-117.416614
SCTV_01,9/2/2020 7:15,61,33.720638,-117.416614
SCTV_01,9/2/2020 7:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 7:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 8:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 8:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 8:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 8:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 9:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 9:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 9:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 9:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 10:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 10:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 10:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 10:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 11:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 11:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 11:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 11:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 12:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 12:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 12:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 12:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 13:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 13:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 13:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 13:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 14:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 14:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 14:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 14:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 15:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 15:15,60,33.720638,-117.416614
SCTV_01,9/2/2020 15:30,60,33.720638,-117.416614
SCTV_01,9/2/2020 15:45,60,33.720638,-117.416614
SCTV_01,9/2/2020 16:00,60,33.720638,-117.416614
SCTV_01,9/2/2020 16:15,59,33.720638,-117.416614
SCTV_01,9/2/2020 16:30,59,33.720638,-117.416614
SCTV_01,9/2/2020 16:45,59,33.720638,-117.416614
SCTV_01,9/2/2020 17:00,59,33.720638,-117.416614
SCTV_01,9/2/2020 17:15,59,33.720638,-117.416614
SCTV_01,9/2/2020 17:30,59,33.720638,-117.416614
SCTV_01,9/2/2020 17:45,59,33.720638,-117.416614
SCTV_01,9/2/2020 18:00,58,33.720638,-117.416614
SCTV_01,9/2/2020 18:15,58,33.720638,-117.416614
SCTV_01,9/2/2020 18:30,58,33.720638,-117.416614
SCTV_01,9/2/2020 18:45,58,33.720638,-117.416614
SCTV_01,9/2/2020 19:00,58,33.720638,-117.416614
SCTV_01,9/2/2020 19:15,58,33.720638,-117.416614
SCTV_01,9/2/2020 19:30,58,33.720638,-117.416614
SCTV_01,9/2/2020 19:45,58,33.720638,-117.416614
SCTV_01,9/2/2020 20:00,58,33.720638,-117.416614
SCTV_01,9/2/2020 20:15,58,33.720638,-117.416614
SCTV_01,9/2/2020 20:30,57,33.720638,-117.416614
SCTV_01,9/2/2020 20:45,57,33.720638,-117.416614
SCTV_01,9/2/2020 21:00,57,33.720638,-117.416614
SCTV_01,9/2/2020 21:15,57,33.720638,-117.416614
SCTV_01,9/2/2020 21:30,57,33.720638,-117.416614
SCTV_01,9/2/2020 21:45,57,33.720638,-117.416614
SCTV_01,9/2/2020 22:00,57,33.720638,-117.416614
SCTV_01,9/2/2020 22:15,57,33.720638,-117.416614
SCTV_01,9/2/2020 22:30,58,33.720638,-117.416614
SCTV_01,9/2/2020 22:45,57,33.720638,-117.416614
SCTV_01,9/2/2020 23:00,57,33.720638,-117.416614
SCTV_01,9/2/2020 23:15,57,33.720638,-117.416614
SCTV_01,9/2/2020 23:30,58,33.720638,-117.416614
SCTV_01,9/2/2020 23:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 0:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 0:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 0:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 0:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 1:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 1:15,58,33.720638,-117.416614
SCTV_01,9/3/2020 1:30,58,33.720638,-117.416614
SCTV_01,9/3/2020 1:45,58,33.720638,-117.416614
SCTV_01,9/3/2020 2:00,58,33.720638,-117.416614
SCTV_01,9/3/2020 2:15,58,33.720638,-117.416614
